string,user_agent_family,user_agent_major,user_agent_minor,user_agent_patch,os_family,os_major,os_minor,os_patch,os_patch_minor,device_family,device_brand,device_model
"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53",Mobile Safari,7,0,,iOS,7,1,2,,iPad,Apple,iPad
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),IE,9,0,,Windows,7,,,,Other,,
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",Chrome,45,0,2454,Mac OS X,10,9,5,,Mac,Apple,Mac
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",Chrome,45,0,2454,Mac OS X,10,10,4,,Mac,Apple,Mac
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:40.0) Gecko/20100101 Firefox/40.0,Firefox,40,0,,Mac OS X,10,9,,,Mac,Apple,Mac
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0),IE,10,0,,Windows,7,,,,Other,,
"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",Chrome,45,0,2454,Windows,Vista,,,,Other,,
"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",Chrome,44,0,2403,Windows,8,1,,,Other,,
"Mozilla/5.0 (X11; CrOS x86_64 7077.134.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.156 Safari/537.36",Chrome,44,0,2403,Chrome OS,7077,134,0,,Other,,
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16",Safari,7,1,7,Mac OS X,10,9,5,,Mac,Apple,Mac
Mozilla/5.0 (Windows NT 6.0; rv:40.0) Gecko/20100101 Firefox/40.0,Firefox,40,0,,Windows,Vista,,,,Other,,
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:40.0) Gecko/20100101 Firefox/40.0,Firefox,40,0,,Mac OS X,10,6,,,Mac,Apple,Mac
"Mozilla/5.0 (iPad; CPU OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4",Mobile Safari,8,0,,iOS,8,1,3,,iPad,Apple,iPad
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.3.18 (KHTML, like Gecko) Version/8.0.3 Safari/600.3.18",Safari,8,0,3,Mac OS X,10,10,2,,Mac,Apple,Mac
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",Chrome,45,0,2454,Mac OS X,10,10,3,,Mac,Apple,Mac
"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",Chrome,45,0,2454,Windows,8,,,,Other,,
Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; rv:11.0) like Gecko,IE,11,0,,Windows,7,,,,Other,,
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",Chrome,44,0,2403,Mac OS X,10,10,5,,Mac,Apple,Mac
"Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4",Mobile Safari,8,0,,iOS,8,1,2,,iPad,Apple,iPad
"Mozilla/5.0 (Linux; U; Android 4.0.3; en-us; KFTT Build/IML74K) AppleWebKit/537.36 (KHTML, like Gecko) Silk/3.68 like Chrome/39.0.2171.93 Safari/537.36",Amazon Silk,3,68,,Android,4,0,3,,Kindle Fire HD,Amazon,"Kindle Fire HD 7"""
"Mozilla/5.0 (iPad; CPU OS 8_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12D508 Safari/600.1.4",Mobile Safari,8,0,,iOS,8,2,,,iPad,Apple,iPad
Mozilla/5.0 (Windows NT 6.1; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0,Firefox,39,0,,Windows,7,,,,Other,,
"Mozilla/5.0 (iPad; CPU OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53",Mobile Safari,7,0,,iOS,7,1,1,,iPad,Apple,iPad
"Mozilla/5.0 (Linux; U; Android 4.4.3; en-us; KFTHWI Build/KTU84M) AppleWebKit/537.36 (KHTML, like Gecko) Silk/3.68 like Chrome/39.0.2171.93 Safari/537.36",Amazon Silk,3,68,,Android,4,4,3,,"Kindle Fire HDX 7"" WiFi",Amazon,"Kindle Fire HDX 7"" WiFi"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/7.1.6 Safari/537.85.15",Safari,7,1,6,Mac OS X,10,9,5,,Mac,Apple,Mac
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.4.10 (KHTML, like Gecko) Version/8.0.4 Safari/600.4.10",Safari,8,0,4,Mac OS X,10,10,2,,Mac,Apple,Mac
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:40.0) Gecko/20100101 Firefox/40.0,Firefox,40,0,,Mac OS X,10,7,,,Mac,Apple,Mac
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2",Safari,7,0,6,Mac OS X,10,9,5,,Mac,Apple,Mac
"Mozilla/5.0 (iPad; CPU OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) CriOS/45.0.2454.68 Mobile/12H321 Safari/600.1.4",Chrome Mobile iOS,45,0,2454,iOS,8,4,1,,iPad,Apple,iPad
Mozilla/5.0 (Windows NT 6.3; Win64; x64; Trident/7.0; Touch; rv:11.0) like Gecko,IE,11,0,,Windows,8,1,,,Other,,
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",Chrome,45,0,2454,Mac OS X,10,6,8,,Mac,Apple,Mac
"Mozilla/5.0 (iPad; CPU OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B410 Safari/600.1.4",Mobile Safari,8,0,,iOS,8,1,,,iPad,Apple,iPad
"Mozilla/5.0 (iPad; CPU OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53",Mobile Safari,7,0,,iOS,7,0,4,,iPad,Apple,iPad
"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",Chrome,45,0,2454,Windows,Vista,,,,Other,,
Mozilla/5.0 (Windows NT 6.3; Win64; x64; Trident/7.0; rv:11.0) like Gecko,IE,11,0,,Windows,8,1,,,Other,,
Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; TNJB; rv:11.0) like Gecko,IE,11,0,,Windows,8,1,,,Other,,
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",Chrome,31,0,1650,Windows,7,,,,Other,,
Mozilla/5.0 (Windows NT 6.3; ARM; Trident/7.0; Touch; rv:11.0) like Gecko,IE,11,0,,Windows,RT 8,1,,,Other,,
"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",Chrome,45,0,2454,Windows,7,,,,Other,,
Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:40.0) Gecko/20100101 Firefox/40.0,Firefox,40,0,,Ubuntu,,,,,Other,,
Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MDDCJS; rv:11.0) like Gecko,IE,11,0,,Windows,8,1,,,Other,,
Mozilla/5.0 (Windows NT 6.0; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,Firefox,40,0,,Windows,Vista,,,,Other,,
"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",Chrome,44,0,2403,Windows,10,,,,Other,,
Mozilla/5.0 (Windows NT 6.2; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,Firefox,40,0,,Windows,8,,,,Other,,
"Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4",Mobile Safari,8,0,,iOS,8,4,,,iPhone,Apple,iPhone
"Mozilla/5.0 (Linux; U; Android 4.4.3; en-us; KFASWI Build/KTU84M) AppleWebKit/537.36 (KHTML, like Gecko) Silk/3.68 like Chrome/39.0.2171.93 Safari/537.36",Amazon Silk,3,68,,Android,4,4,3,,Kindle,Amazon,Kindle
"Mozilla/5.0 (iPad; CPU OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/7.0.55539 Mobile/12H321 Safari/600.1.4",Google,7,0,55539,iOS,8,4,1,,iPad,Apple,iPad
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36",Chrome,44,0,2403,Windows,7,,,,Other,,
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",Chrome,45,0,2454,Mac OS X,10,10,2,,Mac,Apple,Mac
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",Chrome,45,0,2454,Mac OS X,10,7,5,,Mac,Apple,Mac
Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,IE,11,0,,Windows,10,,,,Other,,
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:40.0) Gecko/20100101 Firefox/40.0,Firefox,40,0,,Mac OS X,10,8,,,Mac,Apple,Mac
Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,Firefox,31,0,,Windows,7,,,,Other,,
